教育孩子需要整個村落的力量。,"《數據、真相與人生》
",,"February 20, 2023 3:28 PM","April 26, 2023 10:48 AM",14,imac-fly,64
電玩教育與啟發了成千上萬的人。,《創造文明的人》,,"December 28, 2022 8:13 AM","April 26, 2023 10:47 AM",15,imac-fly,119
再也沒有比教育市場更昂貴的事情了。,《師父》,,"September 22, 2022 5:12 PM","April 26, 2023 10:47 AM",17,imac-fly,215
鈍化不是年齡的必然結果，而是教育的結果。,《即興》,,"October 13, 2022 5:17 PM","October 13, 2022 5:17 PM",20,imac-fly,0
"教育是一種「用心而不要太用力」的藝術。

","《教養，無所不在》
",,"February 17, 2023 2:46 PM","February 17, 2023 2:46 PM",21,imac-fly,0
教育應該使年輕人成為活躍積極、富同情心的公民。,"《重新想像教育的未來》
",,"April 23, 2023 11:01 PM","April 26, 2023 10:47 AM",23,imac-fly,2
把考試的成績當做競爭方式，這種教育一點意義都沒有。,"《唐鳳的破框思考力》
",,"February 13, 2023 8:35 PM","April 26, 2023 10:48 AM",25,imac-fly,71
母投資子女教育的回報壓倒所得效應，迫使生育率下降。,"《人類的旅程》
",,"January 14, 2023 10:49 AM","April 26, 2023 10:47 AM",25,imac-fly,101
教育是別人告訴你該如何想，學習則是願意接受新的可能性。,《創造文明的人》,,"December 28, 2022 8:05 AM","April 26, 2023 10:47 AM",27,imac-fly,119
教育者往往是以他「自己的」目標來當作孩子應有的成長目標。,"《如果我十五歲》
",,"January 23, 2023 10:02 PM","April 26, 2023 10:47 AM",28,imac-fly,92
全世界的教師，同樣都帶著建立社群與傳遞文化的使命投身教育。,"《芬蘭教改之道》
",,"April 23, 2023 10:43 PM","April 26, 2023 10:47 AM",29,imac-fly,2
「集體催眠。以一種非常正統的形式進行，打著『教育』的名號。」,《禪與摩托車維修的藝術（45週年紀念版）》,,"July 9, 2022 4:06 PM","July 9, 2022 4:06 PM",30,imac-fly,0
"未來不屬於那些受了教育的人，而是屬於懂得善用休閒時間的人。

","《心流（繁體中文唯一全譯本，二版）》
",,"March 22, 2023 12:40 PM","March 22, 2023 12:40 PM",31,imac-fly,0
好奇心還能讓人在正式教育結束很久之後，繼續擁有許多樂趣和智慧。,《窮查理的普通常識（增修版）》,,"June 11, 2022 10:52 PM","June 11, 2022 10:52 PM",31,imac-fly,0
非智力因素培養中的性格因素、挫折教育、任務意識及規則意識的培養。,"《兒童心理發展與家庭教育智慧》
",,"March 29, 2023 3:02 PM","April 26, 2023 10:48 AM",32,imac-fly,27
但是如果你本身沒有智慧，如果你沒有創造力，那麼這種教育有何意義？,《關係的追尋》,,"April 13, 2022 1:48 PM","April 13, 2022 1:48 PM",32,imac-fly,0
正確的愛，應該以仰慕為基礎，而且我們應該去愛對我們有教育意義的先賢。,《窮查理的普通常識（增修版）》,,"October 3, 2022 3:20 PM","October 3, 2022 3:20 PM",34,imac-fly,0
為什麼現在的教育如此糟糕。部分原因在於不同領域之間老死不相往來的現狀。,《窮查理的普通常識（增修版）》,,"July 2, 2022 11:31 AM","July 2, 2022 11:31 AM",35,imac-fly,0
不管就好的方面或壞的方面來看，父母的過世都是對孩子最重要也是最後的教育。,《種族滅絕》,,"October 3, 2022 1:32 PM","October 3, 2022 1:32 PM",36,imac-fly,0
為一個受到良好教育且有獨立思考能力的孩子，是不會受到那些閒言碎語的引誘。,《克服與重生》,,"July 10, 2022 9:01 PM","April 26, 2023 10:48 AM",36,imac-fly,289
這類的成癮並沒有被視為對社會的威脅。相反的，他們是病患，應該同情、教育。,《成癮與大腦》,,"April 22, 2022 5:42 PM","April 26, 2023 10:48 AM",36,imac-fly,368
"當教育政策的決策者開始敦促排名和成長，家長和學校也會著迷於考試和成果。

","《人慈》
",,"February 1, 2023 10:22 AM","February 1, 2023 10:22 AM",37,imac-fly,0
教育能磨礪理性思維，但終究使我們更加遠離、而非趨近對社會的基本原則產生共識。,"《大幻象》
",,"January 2, 2023 4:36 PM","April 26, 2023 10:49 AM",38,imac-fly,113
我的「失敗」是一種生存策略，如果沒有它，我可能永遠走不出教育為我設定的陷阱。,《即興》,,"September 28, 2022 8:03 PM","September 28, 2022 8:03 PM",38,imac-fly,0
二○％，存入「教育帳戶」；五○％，存入「需求帳戶」；一○％，存入「付出帳戶」,《有錢人想的和你不一樣》,,"September 15, 2022 8:36 AM","April 26, 2023 10:49 AM",38,imac-fly,223
"教育領域很重視「教出會道謝的孩子」，但是在這之前必須先有「會道謝的父母」。

","《讓孩子心智堅定又自信的10句話》
",,"March 29, 2023 11:55 AM","March 29, 2023 11:55 AM",39,imac-fly,0
將金錢和時間投資在學習與教育。或者重新將未來的時間分配至現在，維繫並建立友誼。,《長壽新人生》,,"July 9, 2022 3:19 PM","July 9, 2022 3:19 PM",39,imac-fly,0
社會、企業、學術、教育、醫療用正向思考洗腦，合理化企業壓榨，防止群眾覺醒、抗爭。,"《失控的正向思考》
",,"March 30, 2023 12:52 PM","April 26, 2023 10:49 AM",40,imac-fly,26
"因此學校的教育並非只教專業學科，盡可能以廣泛的領域當作對象，應該教育出通才。

","《5000天後的世界》
",,"January 15, 2023 11:29 PM","January 15, 2023 11:29 PM",40,imac-fly,0
"聖經被譯成方言，也就是日常生活用語，代表人人都能讀聖經，無論是否受過古典教育。

","《【牛津通識課06】閱讀》
",,"March 28, 2023 7:08 PM","March 28, 2023 7:08 PM",41,imac-fly,0
所以優秀的教育者是一個懂得尊重自然的人，不能固執己見，自己原先的設想必須隨時修定。,《阿姨我不想努力了！？》,,"October 5, 2022 1:10 PM","April 26, 2023 10:49 AM",41,imac-fly,202
"教育程度會影響主觀的幸福感，受過高等教育的丹麥人比沒受過高等教育的丹麥人更快樂。

","《HYGGE！丹麥一年：我的快樂調查報告》
",,"February 19, 2023 11:34 AM","February 19, 2023 11:34 AM",42,imac-fly,0
"任何解放的教育最終產品就是能夠自學、自我教育的人；簡言之，就是自由和理性的個體。

","《社會學的想像》
",,"February 14, 2023 1:04 PM","February 14, 2023 1:04 PM",42,imac-fly,0
